artist,title
Tevin Campbell,I'm Ready
After 7,"Gonna Love You Right (From ""Sugar Hill"")"
Gang Starr,Mass Appeal
Queen Latifah,Just Another Day
Keith Sweat,How Do You Like It?
Guesss,Tell Me Where It Hurts
Sudden Change,Comin' On Strong
A Tribe Called Quest,Electric Relaxation (Relax Yourself Girl)
The Brand New Heavies,Dream On Dreamer
Heavy D & The Boyz,Got Me Waiting
Mary J. Blige,My Love
M.C. Hammer,Pumps And A Bump
Masta Ace Incorporated,Born To Roll
Dawn Penn,"You Don't Love Me (No, No, No)"
Toni Braxton,You Mean The World To Me
Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me)
H-Town/Al B. Sure!,Part Time Lover/I'm Still In Love With You
Glenn Jones,Round And Round
The Conscious Daughters,Somethin' To Ride To (Fonky Expedition)
SWV,"Anything (From ""Above The Rim"")"
For Real,You Don't Wanna Miss
Sweet Sable,"Old Times' Sake (From ""Above The Rim"")"
Joe,All Or Nothing
Xscape,Love On My Mind
Domino,Sweet Potatoe Pie
Ralph Tresvant,When I Need Somebody
The Sounds Of Blackness,I Believe
Aaliyah,Back & Forth
Aretha Franklin,Willing To Forgive
Maze Featuring Frankie Beverly,What Goes Up
Patra,Worker Man
Warren G & Nate Dogg,"Regulate (From ""Above The Rim"")"
El DeBarge,Can't Get Enough
CeCe Peniston,I'm Not Over You
R. Kelly,Your Body's Callin'
Aaron Hall,I Miss You
Zhane,Sending My Love
Arrested Development,Ease My Mind
All-4-One,I Swear
Tony Toni Tone,Leavin'
Janet Jackson,"Any Time, Any Place/And On And On"
Patti LaBelle,The Right Kinda Lover
Mint Condition,Someone To Love
MeShell Ndegeocello,Outside Your Door
Blackgirl,90's Girl
"Damion ""Crazy Legs"" Hall With Chante Moore",Satisfy You
Da Brat,Funkdafied
Ahmad,Back In The Day
The Crooklyn Dodgers,"Crooklyn (From ""Crooklyn"")"
Coolio,Fantastic Voyage
Shanice,Somewhere
Mariah Carey,Anytime You Need A Friend
BLACKstreet,Booti Call
Shai,"The Place Where You Belong (From ""Beverly Hills Cop III"")"
Babyface,When Can I See You
Queen Latifah,Weekend Love/Black Hand Side
Tevin Campbell,Always In My Heart
Jodeci,What About Us
Guesss,It's You That I Need
Crystal Waters,100% Pure Love
Lalah Hathaway,Let Me Love You
69 Boyz,Tootsee Roll
Heavy D & The Boyz,Nuttin' But Love
Ill Al Skratch,Where My Homiez? (Come Around My Way)
Angela Winbush,Inner City Blues
Keith Sweat,When I Give My Love
Nice & Smooth,Old To The New
Jamie Foxx,Infatuation
Take 6,Biggest Part Of Me
Public Enemy,Give It Up
The Puppies,Funky Y-2-C
Melvin Riley,Whose Is It?
Tony Toni Tone,Slow Wine
Changing Faces,Stroke You Up
Warren G,This D.J.
C+C Music Factory,Do You Wanna Get Funky
N-Phase,Spend The Night
Ice Cube Featuring George Clinton,Bop Gun (One Nation)
Gerald Levert,I'd Give Anything
Immature,Never Lie
OutKast,Southernplayalisticadillacmuzik
Boyz II Men,I'll Make Love To You
Craig Mack,Flava In Ya Ear
Shanice,Turn Down The Lights
The Lady Of Rage,Afro Puffs
R. Kelly,Summer Bunnies
The Sounds Of Blackness,Everything Is Gonna Be Alright
Patra Featuring Yo-Yo,Romantic Call
Terror Fabulous Featuring Nadine Sutherland,Action
Anita Baker,Body & Soul
Prince,Letitgo
The Notorious B.I.G.,Juicy/Unbelievable
Whitehead Bros.,Your Love Is A...
Aaliyah,At Your Best (You Are Love)
Usher,Can U Get Wit It
El DeBarge Featuring Babyface,Where Is My Love?
Mad Lion,Take It Easy
Luther Vandross & Mariah Carey,Endless Love
Karyn White,Hungah
Gladys Knight,I Don't Want To Know
Tanya Blount,Through The Rain
Brandy,I Wanna Be Down
Jade,5-4-3-2 (Yo! Time Is Up)
Sweet Sable,Tonight
Bone Thugs-N-Harmony,Thuggish Ruggish Bone
Toni Braxton,I Belong To You/How Many Ways
Ill Al Skratch Featuring Brian McKnight,I'll Take Her
Zhane,Vibe
Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")"
Barry White,Practice What You Preach
B.M.U. (Black Men United),"U Will Know (From ""Jason's Lyric"")"
BLACKstreet,Before I Let You Go
Keith Sweat (Featuring Kut Klose),Get Up On It
Aretha Franklin,Honey
Da Brat,Fa All Y'all
Digable Planets,9th Wonder (Slicker This Year)
Men At Large,Let's Talk About It
Tony Terry,When A Man Cries/Can't Let Go
Janet Jackson,You Want This/70's Love Groove
Aaron Hall,When You Need Me
